Time,ChipID,T1,T2,T3
0.01,1,0,7079,10064,13413
0.02,1,1,7183,10151,18464
0.03,1,2,6494,10272,16933
0.04,1,3,6879,9569,7798
0.51,2,0,7083,10068,13319
0.52,2,1,7182,10148,18388
0.52,2,2,6495,10272,17203
0.54,2,3,6880,9572,7885
1.00,3,0,7081,10063,13332
1.01,3,1,7181,10144,18574
1.02,3,2,6495,10271,17180
1.03,3,3,6879,9568,7942
1.51,4,0,7083,10070,13373
1.52,4,1,7181,10144,18507
1.52,4,2,6495,10269,16990
1.53,4,3,6881,9572,7891
2.00,5,0,7084,10064,13543
2.01,5,1,7182,10149,18461
2.02,5,2,6495,10265,17157
2.03,5,3,6881,9572,7888
2.51,6,0,7082,10069,13494
2.52,6,1,7182,10144,18564
2.52,6,2,6496,10272,17187
2.53,6,3,6880,9570,7843
3.00,7,0,7083,10064,13448
3.01,7,1,7182,10147,18485
3.02,7,2,6496,10272,17161
3.03,7,3,6879,9569,7873
3.51,8,0,7082,10068,13432
3.52,8,1,7182,10140,18490
3.52,8,2,6495,10270,17398
3.53,8,3,6880,9569,7867
4.01,9,0,7082,10065,13506
4.01,9,1,7182,10147,18613
4.03,9,2,6496,10267,17252
4.03,9,3,6883,9567,7930
4.51,10,0,7083,10068,13517
4.52,10,1,7183,10148,18488
4.53,10,2,6495,10268,17295
4.53,10,3,6880,9568,7886
5.01,11,0,7083,10062,13517
5.01,11,1,7181,10144,18702
5.03,11,2,6496,10268,17289
5.03,11,3,6881,9568,7881
5.51,12,0,7083,10066,13459
5.52,12,1,7182,10146,18461
5.53,12,2,6495,10268,17386
5.53,12,3,6882,9570,7870
6.01,13,0,7084,10066,13371
6.01,13,1,7181,10144,18663
6.03,13,2,6497,10269,17130
6.03,13,3,6880,9566,7904
6.51,14,0,7083,10061,13420
6.52,14,1,7182,10142,18598
6.53,14,2,6497,10271,17409
6.53,14,3,6881,9568,7868
7.01,15,0,7084,10064,13569
7.01,15,1,7183,10149,18720
7.03,15,2,6495,10268,17402
7.03,15,3,6882,9571,7866
7.51,16,0,7083,10059,13603
7.52,16,1,7182,10140,18646
