Time,ChipID,T1,T2,T3
0.01,1,0,6969,10489,4699
0.02,1,1,7064,10539,6292
0.03,1,2,6394,10672,5866
0.04,1,3,6766,10011,2824
0.51,2,0,6970,10494,4738
0.52,2,1,7065,10547,6377
0.52,2,2,6393,10672,5797
0.54,2,3,6765,10021,2799
1.00,3,0,6971,10489,4745
1.01,3,1,7066,10536,6441
1.02,3,2,6393,10669,5848
1.03,3,3,6765,10016,2792
1.51,4,0,6969,10488,4688
1.52,4,1,7063,10543,6365
1.52,4,2,6393,10678,5922
1.53,4,3,6765,10018,2821
2.00,5,0,6972,10485,4769
2.01,5,1,7064,10542,6435
2.02,5,2,6394,10667,5837
2.03,5,3,6766,10015,2792
2.51,6,0,6971,10491,4744
2.52,6,1,7064,10539,6361
2.52,6,2,6395,10675,5859
2.53,6,3,6763,10018,2816
3.00,7,0,6971,10488,4734
3.01,7,1,7064,10539,6361
3.02,7,2,6394,10665,5892
3.03,7,3,6764,10015,2809
3.51,8,0,6972,10492,4806
3.52,8,1,7065,10542,6460
3.52,8,2,6392,10666,5852
3.53,8,3,6766,10021,2806
4.01,9,0,6973,10476,4806
4.01,9,1,7065,10542,6470
4.03,9,2,6392,10659,5915
4.03,9,3,6765,10020,2831
4.51,10,0,6972,10486,4767
4.52,10,1,7065,10538,6490
4.53,10,2,6390,10671,5897
4.53,10,3,6765,10018,2820
5.01,11,0,6972,10484,4783
5.01,11,1,7067,10528,6440
5.03,11,2,6391,10666,5973
5.03,11,3,6766,10010,2840
5.51,12,0,6973,10484,4765
5.52,12,1,7066,10541,6508
5.53,12,2,6390,10661,5924
5.53,12,3,6767,10019,2843
6.01,13,0,6973,10479,4746
6.01,13,1,7067,10543,6529
6.03,13,2,6389,10658,5882
6.03,13,3,6768,10017,2845
6.51,14,0,6973,10476,4806
6.52,14,1,7066,10548,6515
6.53,14,2,6388,10657,5920
6.53,14,3,6767,10020,2828
7.01,15,0,6974,10474,4771
7.01,15,1,7068,10537,6493
7.03,15,2,6387,10656,5964
7.03,15,3,6766,10019,2844
7.51,16,0,6974,10477,4846
7.52,16,1,7068,10543,6503
7.53,16,2,6385,10662,6036
7.53,16,3,6766,10018,2851
8.01,17,0,6972,10486,4782
8.02,17,1,7066,10521,6491
8.02,17,2,6383,10667,5971
8.03,17,3,6768,10002,2839
8.51,18,0,6974,10490,4767
8.52,18,1,7068,10526,6572
8.52,18,2,6381,10668,5960
8.53,18,3,6768,10005,2850
9.01,19,0,6974,10487,4838
9.02,19,1,7069,10526,6529
9.02,19,2,6382,10663,6008
9.03,19,3,6769,10005,2871
9.51,20,0,6974,10487,4848
9.52,20,1,7069,10530,6499
9.52,20,2,6382,10665,5915
9.53,20,3,6768,10009,2853
10.01,21,0,6974,10485,4785
10.02,21,1,7068,10528,6545
10.02,21,2,6382,10665,5972
10.03,21,3,6767,10001,2838
10.51,22,0,6973,10492,4794
10.52,22,1,7069,10534,6519
10.52,22,2,6381,10674,5970
10.53,22,3,6770,10008,2826
11.01,23,0,6974,10482,4789
11.02,23,1,7069,10523,6496
11.02,23,2,6380,10663,5992
11.03,23,3,6770,10000,2859
11.51,24,0,6973,10487,4832
11.52,24,1,7068,10533,6538
11.52,24,2,6382,10669,5983
11.53,24,3,6769,10009,2847
12.01,25,0,6973,10483,4834
12.02,25,1,7070,10530,6575
12.02,25,2,6380,10668,5964
12.03,25,3,6768,10004,2835
12.51,26,0,6975,10489,4789
12.52,26,1,7066,10531,6387
12.52,26,2,6382,10673,6001
12.53,26,3,6767,10013,2848
13.01,27,0,6975,10484,4796
13.02,27,1,7066,10532,6534
13.02,27,2,6382,10666,5972
13.03,27,3,6765,10006,2838
13.51,28,0,6973,10487,4757
13.52,28,1,7064,10537,6560
13.52,28,2,6380,10670,6048
13.53,28,3,6764,10008,2822
14.01,29,0,6972,10485,4827
14.02,29,1,7066,10534,6485
14.02,29,2,6382,10670,5964
14.03,29,3,6764,10006,2851
14.51,30,0,6974,10487,4763
14.52,30,1,7065,10532,6446
14.52,30,2,6381,10676,5967
14.53,30,3,6762,10010,2841
15.01,31,0,6973,10487,4751
15.02,31,1,7065,10533,6376
