Time,ChipID,T1,T2,T3
0.01,1,0,7025,10304,7617
0.02,1,1,7122,10355,10443
0.03,1,2,6445,10493,9703
0.04,1,3,6827,9803,4538
0.51,2,0,7029,10302,7499
0.52,2,1,7119,10349,10304
0.52,2,2,6445,10485,9651
0.54,2,3,6826,9797,4528
1.00,3,0,7028,10302,7613
1.01,3,1,7121,10350,10210
1.02,3,2,6444,10485,9578
1.03,3,3,6825,9799,4500
1.51,4,0,7028,10298,7561
1.52,4,1,7121,10353,10338
1.52,4,2,6442,10484,9548
1.53,4,3,6824,9796,4515
2.00,5,0,7029,10312,7611
2.01,5,1,7121,10343,10224
2.02,5,2,6444,10494,9631
2.03,5,3,6824,9794,4513
2.51,6,0,7029,10304,7579
2.52,6,1,7121,10348,10396
2.52,6,2,6445,10484,9541
2.53,6,3,6825,9794,4530
3.00,7,0,7029,10303,7617
3.01,7,1,7122,10356,10222
3.02,7,2,6443,10484,9634
3.03,7,3,6825,9801,4528
3.51,8,0,7029,10300,7625
3.52,8,1,7123,10346,10416
3.52,8,2,6446,10485,9688
3.53,8,3,6825,9794,4530
4.01,9,0,7028,10314,7590
4.01,9,1,7121,10348,10270
4.03,9,2,6443,10493,9720
4.03,9,3,6826,9794,4494
4.51,10,0,7028,10308,7626
4.52,10,1,7122,10341,10356
4.53,10,2,6447,10492,9517
4.53,10,3,6825,9787,4541
5.01,11,0,7028,10307,7669
5.01,11,1,7121,10340,10289
5.03,11,2,6445,10494,9532
5.03,11,3,6824,9791,4502
5.51,12,0,7028,10297,7651
5.52,12,1,7123,10349,10190
5.53,12,2,6446,10485,9574
5.53,12,3,6824,9797,4517
6.01,13,0,7029,10300,7599
6.01,13,1,7122,10356,10477
6.03,13,2,6444,10484,9626
6.03,13,3,6826,9803,4529
6.51,14,0,7028,10295,7632
6.52,14,1,7123,10353,10388
6.53,14,2,6446,10482,9629
6.53,14,3,6826,9799,4551
7.01,15,0,7028,10301,7563
7.01,15,1,7122,10357,10354
7.03,15,2,6445,10483,9656
7.03,15,3,6824,9805,4561
7.51,16,0,7028,10295,7621
7.52,16,1,7122,10356,10456
7.53,16,2,6446,10479,9698
7.53,16,3,6825,9797,4532
8.01,17,0,7028,10302,7578
8.02,17,1,7121,10354,10439
8.02,17,2,6444,10480,9653
8.03,17,3,6827,9809,4529
8.51,18,0,7029,10297,7655
8.52,18,1,7121,10355,10229
8.52,18,2,6445,10479,9591
8.53,18,3,6825,9799,4517
9.01,19,0,7029,10301,7607
9.02,19,1,7122,10357,10422
9.02,19,2,6445,10485,9624
9.03,19,3,6826,9806,4538
9.51,20,0,7030,10294,7652
9.52,20,1,7123,10349,10356
9.52,20,2,6444,10482,9602
9.53,20,3,6825,9798,4515
10.01,21,0,7029,10306,7585
10.02,21,1,7122,10361,10211
10.02,21,2,6444,10488,9592
10.03,21,3,6826,9802,4521
10.51,22,0,7028,10294,7545
10.52,22,1,7123,10351,10405
10.52,22,2,6446,10480,9638
10.53,22,3,6826,9799,4541
11.01,23,0,7029,10298,7617
11.02,23,1,7123,10353,10435
11.02,23,2,6444,10486,9675
11.03,23,3,6827,9803,4521
11.51,24,0,7029,10293,7629
11.52,24,1,7121,10348,10402
11.52,24,2,6444,10478,9569
11.53,24,3,6827,9797,4545
12.01,25,0,7029,10297,7637
12.02,25,1,7122,10355,10420
12.02,25,2,6446,10483,9598
