Time,ChipID,T1,T2,T3
0.01,1,0,6969,10521,4615
0.02,1,1,7061,10531,6210
0.03,1,2,6394,10688,5773
0.04,1,3,6766,10012,2750
0.51,2,0,6972,10515,4599
0.52,2,1,7061,10531,6076
0.52,2,2,6392,10687,5738
0.54,2,3,6767,10009,2785
1.00,3,0,6972,10516,4606
1.01,3,1,7063,10535,6120
1.02,3,2,6393,10685,5762
1.03,3,3,6768,10017,2731
1.51,4,0,6972,10508,4595
1.52,4,1,7062,10548,6153
1.52,4,2,6394,10678,5762
1.53,4,3,6766,10021,2725
2.00,5,0,6971,10520,4595
2.01,5,1,7063,10535,6138
2.02,5,2,6394,10689,5699
2.03,5,3,6766,10012,2746
2.51,6,0,6972,10518,4602
2.52,6,1,7064,10537,6076
2.52,6,2,6393,10684,5659
2.53,6,3,6764,10015,2716
3.00,7,0,6970,10517,4578
3.01,7,1,7062,10544,6118
3.02,7,2,6392,10683,5676
3.03,7,3,6767,10018,2716
3.51,8,0,6972,10513,4558
3.52,8,1,7061,10545,6171
3.52,8,2,6394,10685,5635
3.53,8,3,6768,10020,2718
4.01,9,0,6971,10513,4552
4.01,9,1,7061,10541,6161
4.03,9,2,6392,10682,5651
4.03,9,3,6766,10020,2723
4.51,10,0,6971,10514,4547
4.52,10,1,7061,10549,6007
4.53,10,2,6392,10685,5648
4.53,10,3,6767,10022,2726
5.01,11,0,6971,10513,4576
5.01,11,1,7063,10548,6074
5.03,11,2,6394,10681,5772
5.03,11,3,6765,10025,2741
5.51,12,0,6972,10507,4565
5.52,12,1,7063,10549,6188
5.53,12,2,6394,10682,5677
5.53,12,3,6765,10022,2727
6.01,13,0,6970,10513,4561
6.01,13,1,7062,10550,6062
6.03,13,2,6394,10681,5674
6.03,13,3,6767,10022,2722
6.51,14,0,6971,10510,4555
6.52,14,1,7063,10552,6150
6.53,14,2,6393,10683,5693
6.53,14,3,6765,10024,2742
7.01,15,0,6971,10514,4571
7.01,15,1,7062,10551,6155
7.03,15,2,6393,10678,5698
7.03,15,3,6766,10023,2713
7.51,16,0,6971,10514,4525
7.52,16,1,7063,10547,6144
7.53,16,2,6393,10681,5689
7.53,16,3,6767,10025,2729
8.01,17,0,6972,10511,4554
8.02,17,1,7064,10547,6193
8.02,17,2,6393,10682,5667
8.03,17,3,6766,10022,2704
8.51,18,0,6973,10510,4568
8.52,18,1,7064,10544,6126
8.52,18,2,6394,10684,5641
8.53,18,3,6767,10025,2725
