Time,ChipID,T1,T2,T3
0.01,1,0,6882,10832,2237
0.02,1,1,6976,10844,2910
0.03,1,2,6318,10979,2732
0.04,1,3,6679,10348,1345
0.51,2,0,6886,10833,2221
0.52,2,1,6975,10837,2904
0.52,2,2,6317,10982,2709
0.54,2,3,6678,10348,1334
1.00,3,0,6886,10841,2220
1.01,3,1,6976,10831,2932
1.02,3,2,6318,10988,2714
1.03,3,3,6681,10343,1333
1.51,4,0,6886,10832,2226
1.52,4,1,6975,10843,2895
1.52,4,2,6318,10978,2697
1.53,4,3,6679,10351,1330
2.00,5,0,6886,10840,2208
2.01,5,1,6975,10837,2934
2.02,5,2,6316,10989,2688
2.03,5,3,6679,10346,1329
2.51,6,0,6885,10841,2222
2.52,6,1,6973,10836,2861
2.52,6,2,6316,10993,2700
2.53,6,3,6680,10343,1331
3.00,7,0,6885,10841,2208
3.01,7,1,6974,10838,2905
3.02,7,2,6316,10990,2688
3.03,7,3,6680,10352,1337
3.51,8,0,6885,10835,2210
3.52,8,1,6973,10849,2902
3.52,8,2,6316,10982,2690
3.53,8,3,6681,10358,1323
4.01,9,0,6884,10834,2191
4.01,9,1,6973,10846,2903
4.03,9,2,6317,10981,2702
4.03,9,3,6681,10362,1330
4.51,10,0,6884,10836,2216
4.52,10,1,6972,10850,2844
4.53,10,2,6316,10979,2676
4.53,10,3,6679,10358,1315
5.01,11,0,6883,10838,2183
5.01,11,1,6972,10847,2910
5.03,11,2,6315,10982,2687
5.03,11,3,6679,10359,1322
5.51,12,0,6883,10836,2201
5.52,12,1,6975,10847,2923
5.53,12,2,6314,10984,2641
5.53,12,3,6677,10362,1314
6.01,13,0,6884,10840,2189
6.01,13,1,6974,10852,2916
6.03,13,2,6316,10985,2651
6.03,13,3,6679,10362,1316
6.51,14,0,6884,10838,2183
6.52,14,1,6972,10852,2893
6.53,14,2,6316,10987,2630
6.53,14,3,6678,10358,1321
7.01,15,0,6883,10840,2178
7.01,15,1,6972,10851,2860
7.03,15,2,6316,10986,2662
7.03,15,3,6680,10364,1312
7.51,16,0,6884,10837,2177
7.52,16,1,6972,10854,2885
7.53,16,2,6315,10985,2669
7.53,16,3,6677,10361,1309
8.01,17,0,6884,10836,2170
8.02,17,1,6974,10853,2912
8.02,17,2,6315,10982,2639
8.03,17,3,6679,10363,1312
8.51,18,0,6882,10836,2198
8.52,18,1,6973,10858,2892
8.52,18,2,6317,10983,2644
8.53,18,3,6680,10363,1315
9.01,19,0,6883,10834,2181
